tempOut,tempGaine,tempInt,Mode,Horloge - IP sur le wifi,consigneQuietude,Quietude,QuietudeExist,consigneMoteur (CM2047 = rapide / CM0 = off),rotationLevel,empty,tensionAlim*100,tensionM*100,Tension12V,LastTempCount,tensionRemoteBatt*1000(none=4096),Tmax17,Tmin14,VitesseRotationMoteur,TempGaine,TempExt,deltaTemp_Gaine-In,Delta_Ext-Gaine,SHT11,Firm1,testTemp, QE0
20,15,25,Rapide,14h46  - ip 192.168.1.101,19,0,0,CM2047,RM600,,V2477,VM2441,12V1151,LastTemp188,ExtBatt4096,TMax17,TMin14,RPM2880,TempThermi15,TempSHT16,deltaTemp-5.11,DeltaSHTThermi0,SHT11,Firm1,testinprogress0,QE0
20,15,25,Rapide,14h46  - ip 192.168.1.101,19,0,0,CM2047,RM750,,V2429,VM2422,12V1147,LastTemp198,ExtBatt4096,TMax17,TMin14,RPM3450,TempThermi15,TempSHT16,deltaTemp-4.71,DeltaSHTThermi0,SHT11,Firm1,testinprogress0,QE0
20,15,25,Rapide,14h46  - ip 192.168.1.101,19,0,0,CM2047,RM900,,V2443,VM2416,12V1153,LastTemp206,ExtBatt4096,TMax17,TMin14,RPM3600,TempThermi15,TempSHT16,deltaTemp-4.85,DeltaSHTThermi0,SHT11,Firm1,testinprogress0,QE0
20,15,25,Rapide,14h46  - ip 192.168.1.101,19,0,0,CM2047,RM1050,,V2470,VM2409,12V1158,LastTemp215,ExtBatt4096,TMax17,TMin14,RPM3930,TempThermi15,TempSHT16,deltaTemp-4.99,DeltaSHTThermi0,SHT11,Firm1,testinprogress0,QE0
20,15,25,Rapide,14h47  - ip 192.168.1.101,19,0,0,CM2047,RM1200,,V2473,VM2398,12V1151,LastTemp227,ExtBatt4096,TMax17,TMin14,RPM4680,TempThermi15,TempSHT16,deltaTemp-4.89,DeltaSHTThermi0,SHT11,Firm1,testinprogress0,QE0
20,15,25,Rapide,14h47  - ip 192.168.1.101,19,0,0,CM2047,RM1350,,V2415,VM2401,12V1154,LastTemp236,ExtBatt4096,TMax17,TMin14,RPM4680,TempThermi15,TempSHT16,deltaTemp-4.64,DeltaSHTThermi0,SHT11,Firm1,testinprogress0,QE0
20,15,25,Mode Hiver,14h47  - ip 192.168.1.101,19,0,0,CM2047,RM1650,,V2479,VM2394,12V1149,LastTemp260,ExtBatt4096,TMax17,TMin14,RPM5160,TempThermi15,TempSHT16,deltaTemp-4.48,DeltaSHTThermi0,SHT11,Firm1,testinprogress0,QE0
29,15,19,Mode Hiver Consigne atteinte,16h04  - Connect̩ au r̩seau Lbx avec l'ip 192.168.1.101,17,0,0,CM0,RM0,,V2474,VM4096,12V0,LastTemp139,ExtBatt4096,TMax17,TMin14,RPM0,TempThermi15,TempSHT17,deltaTemp-13.26,DeltaSHTThermi0,SHT11,Firm1,testinprogress0,QE0
